ISBN	Response Group	Log time	Log date
9783319259833	ItemAttributes	11:53:01	27:09:17
9783319139326	ItemAttributes	11:53:02	27:09:17
9783319269214	ItemAttributes	11:53:03	27:09:17
9783319180717	ItemAttributes	11:53:09	27:09:17
9783319281841	ItemAttributes	11:53:10	27:09:17
9783319278841	ItemAttributes	11:53:11	27:09:17
9783319309293	ItemAttributes	11:53:15	27:09:17
9783319405179	ItemAttributes	11:53:16	27:09:17
9783319267142	ItemAttributes	11:53:22	27:09:17
9783319270913	ItemAttributes	11:53:23	27:09:17
9783319463360	ItemAttributes	11:53:24	27:09:17
9783319280721	ItemAttributes	11:53:25	27:09:17
9783319250243	ItemAttributes	11:53:26	27:09:17
9783319204444	ItemAttributes	11:53:29	27:09:17
9783319276335	ItemAttributes	11:53:31	27:09:17
9783319239156	ItemAttributes	11:53:32	27:09:17
9783319285504	ItemAttributes	11:53:33	27:09:17
9783319430379	ItemAttributes	11:53:34	27:09:17
9783319286921	ItemAttributes	11:53:40	27:09:17
9783319427539	ItemAttributes	11:53:41	27:09:17
9783319307244	ItemAttributes	11:53:42	27:09:17
9783319263670	ItemAttributes	11:53:43	27:09:17
9783319403908	ItemAttributes	11:53:44	27:09:17
9783319321233	ItemAttributes	11:53:45	27:09:17
9783319302546	ItemAttributes	11:53:47	27:09:17
9783319259505	ItemAttributes	11:53:48	27:09:17
9783319154664	ItemAttributes	11:53:49	27:09:17
9783319309651	ItemAttributes	11:53:50	27:09:17
9783319315676	ItemAttributes	11:53:51	27:09:17
9783319297743	ItemAttributes	11:53:52	27:09:17
9783319216225	ItemAttributes	11:53:56	27:09:17
9783319265162	ItemAttributes	11:53:57	27:09:17
9783319329000	ItemAttributes	11:53:58	27:09:17
9783319247069	ItemAttributes	11:53:59	27:09:17
9783319174129	ItemAttributes	11:54:00	27:09:17
9783319283333	ItemAttributes	11:54:01	27:09:17
9783319285474	ItemAttributes	11:54:04	27:09:17
9783319295602	ItemAttributes	11:54:06	27:09:17
9783319284149	ItemAttributes	11:54:07	27:09:17
9783319198804	ItemAttributes	11:54:08	27:09:17
9783319282794	ItemAttributes	11:54:09	27:09:17
9783319280516	ItemAttributes	11:54:10	27:09:17
9783319295978	ItemAttributes	11:54:20	27:09:17
9783319416380	ItemAttributes	11:54:21	27:09:17
9783319316123	ItemAttributes	11:54:22	27:09:17
9783319306827	ItemAttributes	11:54:23	27:09:17
9783319321202	ItemAttributes	11:54:24	27:09:17
9783319326306	ItemAttributes	11:54:25	27:09:17
9783319368733	ItemAttributes	11:54:29	27:09:17
9783319246314	ItemAttributes	11:54:30	27:09:17
9783319205526	ItemAttributes	11:54:31	27:09:17
9783319408255	ItemAttributes	11:54:32	27:09:17
9783319341347	ItemAttributes	11:54:40	27:09:17
9783319250953	ItemAttributes	11:54:41	27:09:17
9783319257167	ItemAttributes	11:54:45	27:09:17
9783319426600	ItemAttributes	11:54:46	27:09:17
9783319197579	ItemAttributes	11:54:47	27:09:17
9783319193267	ItemAttributes	11:54:51	27:09:17
9783319319650	ItemAttributes	11:54:52	27:09:17
9783319272085	ItemAttributes	11:54:53	27:09:17
9783319216928	ItemAttributes	11:54:54	27:09:17
9783319205700	ItemAttributes	11:54:55	27:09:17
9783319217130	ItemAttributes	11:54:56	27:09:17
9783319273877	ItemAttributes	11:55:02	27:09:17
9783319176949	ItemAttributes	11:55:03	27:09:17
9783319275062	ItemAttributes	11:55:04	27:09:17
9783319231587	ItemAttributes	11:55:05	27:09:17
9783319341736	ItemAttributes	11:55:06	27:09:17
9783319206653	ItemAttributes	11:55:16	27:09:17
9783319256238	ItemAttributes	11:55:17	27:09:17
9783319232904	ItemAttributes	11:55:18	27:09:17
9783319283210	ItemAttributes	11:55:19	27:09:17
9783319413839	ItemAttributes	11:55:20	27:09:17
9783319422725	ItemAttributes	11:55:26	27:09:17
9783319322513	ItemAttributes	11:55:27	27:09:17
9783319274621	ItemAttributes	11:55:28	27:09:17
9783319419046	ItemAttributes	11:55:29	27:09:17
9783319280578	ItemAttributes	11:55:30	27:09:17
9783319425221	ItemAttributes	11:55:36	27:09:17
9783319388021	ItemAttributes	11:55:37	27:09:17
9783319280967	ItemAttributes	11:55:38	27:09:17
9783319229621	ItemAttributes	11:55:39	27:09:17
9783319331225	ItemAttributes	11:55:40	27:09:17
9783319233406	ItemAttributes	11:55:41	27:09:17
9783319369747	ItemAttributes	11:55:43	27:09:17
9783319323688	ItemAttributes	11:55:44	27:09:17
9783319266886	ItemAttributes	11:55:45	27:09:17
9783319492827	ItemAttributes	11:55:46	27:09:17
9783319329147	ItemAttributes	11:55:47	27:09:17
9783319210643	ItemAttributes	11:55:48	27:09:17
9783319193441	ItemAttributes	11:55:49	27:09:17
9783319251974	ItemAttributes	11:55:51	27:09:17
9783319246192	ItemAttributes	11:55:52	27:09:17
9783319336268	ItemAttributes	11:55:53	27:09:17
9783319200217	ItemAttributes	11:55:54	27:09:17
9783319202204	ItemAttributes	11:55:55	27:09:17
9783319321721	ItemAttributes	11:55:56	27:09:17
9783319216348	ItemAttributes	11:55:57	27:09:17
9783319222875	ItemAttributes	11:55:59	27:09:17
9783319246550	ItemAttributes	11:56:00	27:09:17
9783319310015	ItemAttributes	11:56:01	27:09:17
9783319299242	ItemAttributes	11:56:02	27:09:17
9783319231884	ItemAttributes	11:56:03	27:09:17
9783319314761	ItemAttributes	11:56:06	27:09:17
9783319289243	ItemAttributes	11:56:10	27:09:17
9783319331430	ItemAttributes	11:56:16	27:09:17
9783319208541	ItemAttributes	11:56:17	27:09:17
9783319190891	ItemAttributes	11:56:18	27:09:17
9783319227436	ItemAttributes	11:56:19	27:09:17
9783319412573	ItemAttributes	11:56:20	27:09:17
9783319328348	ItemAttributes	11:56:22	27:09:17
9783319271750	ItemAttributes	11:56:23	27:09:17
9783319191492	ItemAttributes	11:56:24	27:09:17
9783319303178	ItemAttributes	11:56:25	27:09:17
9783319254814	ItemAttributes	11:56:26	27:09:17
9783319373874	ItemAttributes	11:56:27	27:09:17
9783319253442	ItemAttributes	11:56:28	27:09:17
9783319251462	ItemAttributes	11:56:32	27:09:17
9783319276021	ItemAttributes	11:56:33	27:09:17
9783319373898	ItemAttributes	11:56:34	27:09:17
9783319320182	ItemAttributes	11:56:35	27:09:17
9783319229201	ItemAttributes	11:56:36	27:09:17
9783319254524	ItemAttributes	11:56:37	27:09:17
9783319332970	ItemAttributes	11:56:38	27:09:17
9783319314884	ItemAttributes	11:56:40	27:09:17
9783319252452	ItemAttributes	11:56:41	27:09:17
9783319302669	ItemAttributes	11:56:42	27:09:17
9783319208572	ItemAttributes	11:56:43	27:09:17
9783319311913	ItemAttributes	11:56:44	27:09:17
9783319230115	ItemAttributes	11:56:45	27:09:17
9783319214962	ItemAttributes	11:56:47	27:09:17
9783319280547	ItemAttributes	11:56:48	27:09:17
9783319438252	ItemAttributes	11:56:49	27:09:17
9783319273518	ItemAttributes	11:56:50	27:09:17
9783319278599	ItemAttributes	11:56:51	27:09:17
9783319423142	ItemAttributes	11:56:52	27:09:17
9783319424583	ItemAttributes	11:56:53	27:09:17
9783319251042	ItemAttributes	11:56:55	27:09:17
9783319302966	ItemAttributes	11:56:56	27:09:17
